Alpha: 1p1
500000,6.635,5.256,4.737,5.011,4.592,Alpha: 1p1
1000000,13.640,16.863,13.893,12.770,12.936,Alpha: 1p1
1500000,28.704,38.696,37.331,45.657,34.943,Alpha: 1p1
2000000,75.191,78.352,66.993,65.616,77.354,Alpha: 1p1
2500000,85.528,156.483,86.522,79.923,107.384,Alpha: 1p1
3000000,158.420,353.419,181.529,171.128,130.989,Alpha: 1p1
3500000,228.231,325.797,245.784,268.852,228.402,Alpha: 1p1
4000000,290.366,396.306,542.271,567.160,401.042,Alpha: 1p1
4500000,430.039,423.722,462.650,483.243,392.609,Alpha: 1p1
5000000,504.992,467.151,502.309,555.836,495.918,
