Alpha: 1p1
500000,11.842,10.617,10.985,13.612,10.465,Alpha: 1p1
1000000,58.202,56.648,40.436,68.486,38.283,Alpha: 1p1
1500000,138.193,139.238,123.654,145.152,147.703,Alpha: 1p1
2000000,302.725,326.069,237.119,237.206,242.816,Alpha: 1p1
2500000,464.014,434.656,422.640,429.177,445.594,Alpha: 1p1
3000000,609.157,596.593,629.235,578.055,657.428,Alpha: 1p1
3500000,841.872,778.178,865.867,880.906,831.081,Alpha: 1p1
4000000,1065.460,1146.496,1077.727,1156.181,1098.170,Alpha: 1p1
4500000,1286.254,1064.188,1266.241,1252.530,1210.511,Alpha: 1p1
5000000,1528.600,1540.711,1328.837,1841.927,1565.095,
