Size: 100k 
1.1,3.375,2.651,1.566,1.321,1.441,
1.2,1.761,1.776,1.706,1.696,1.616,
1.3,2.108,2.145,2.135,2.424,2.057,
1.4,2.710,2.714,2.577,2.840,2.530,
1.5,3.224,3.237,3.156,3.385,3.103,
1.6,3.767,4.228,3.586,3.737,3.920,
1.7,4.640,4.341,4.463,4.550,4.275,
1.8,4.722,5.243,5.174,4.819,4.621,
1.9,5.803,5.657,5.197,5.889,5.021,
2.0,6.063,5.611,5.710,5.678,5.740,
2.1,5.863,5.819,5.570,5.635,5.741,
2.2,5.768,5.761,5.671,5.829,5.592,
2.3,6.544,5.914,5.996,6.479,5.790,
2.4,6.579,6.057,6.816,6.294,6.289,
2.5,6.900,6.350,6.521,6.658,6.342,
