Size: 100k 
1.1,5.231,2.951,2.578,2.328,2.367,
1.2,4.909,5.203,4.841,5.101,5.611,
1.3,8.730,8.553,12.389,8.726,9.780,
1.4,14.667,12.721,13.123,13.213,13.371,
1.5,18.017,21.413,21.686,19.620,19.188,
1.6,28.238,25.047,27.266,24.816,26.951,
1.7,28.728,29.863,30.797,30.930,29.953,
1.8,40.622,35.836,35.830,37.111,34.335,
1.9,45.806,39.403,43.320,41.069,41.128,
2.0,47.476,53.914,46.398,47.637,48.398,
2.1,55.823,52.014,49.042,52.591,53.795,
2.2,56.525,61.558,57.645,56.317,50.547,
2.3,59.410,56.822,64.817,70.084,69.529,
2.4,78.970,67.781,93.870,83.252,92.803,
2.5,70.081,76.786,84.168,79.907,73.604,
