
1.1,8.761,8.237,7.235,7.262,7.201,
1.2,17.060,19.217,16.381,16.802,16.500,
1.3,24.568,25.528,25.366,27.299,25.083,
1.4,30.695,33.139,33.364,33.412,32.899,
1.5,40.801,41.022,42.079,37.130,41.520,
1.6,47.028,45.446,42.722,46.314,53.563,
1.7,55.783,53.771,50.404,49.832,57.028,
1.8,58.915,58.701,55.425,56.064,56.011,
1.9,61.247,64.735,63.152,62.307,70.476,
2.0,69.159,73.700,71.918,67.590,67.399,
2.1,73.298,73.837,75.486,69.179,70.793,
2.2,69.137,80.371,82.108,79.513,75.543,
2.3,80.001,77.711,83.768,77.713,79.424,
2.4,79.258,81.600,80.385,81.440,82.964,
2.5,81.666,86.782,83.552,81.823,82.927,
