
1,18.960,15.327,14.912,14.807,14.520,
2,12.550,11.543,10.663,10.635,10.649,
3,12.473,11.086,9.015,10.254,9.992,
4,13.574,9.781,9.644,9.185,9.924,
5,11.809,10.143,8.995,8.713,8.008,
6,12.912,9.734,8.856,10.002,9.755,
7,12.785,9.283,8.504,7.985,8.306,
8,12.969,10.189,9.887,8.749,8.670,
9,11.665,7.953,9.448,9.730,9.203,
10,12.825,10.010,9.537,7.732,9.657,
11,9.667,8.790,9.608,8.762,9.636,
12,12.033,9.698,9.683,9.421,9.331,
13,11.466,8.832,9.815,9.437,9.752,
14,10.294,8.833,8.624,8.637,9.607,
15,10.412,9.686,8.226,8.176,9.499,
16,10.267,14.315,9.343,8.486,8.355,
17,13.058,9.775,9.789,8.601,9.628,
18,12.377,8.736,8.415,9.438,8.439,
19,12.392,8.852,8.222,9.217,8.213,
20,11.487,9.027,9.732,8.637,8.520,
21,11.704,7.869,9.558,9.198,8.530,
22,13.320,8.371,9.473,9.836,9.171,
23,12.476,9.530,9.250,9.035,9.503,
24,11.505,9.532,7.986,9.475,9.599,
25,10.833,9.944,9.322,9.456,8.424,
26,13.007,8.998,9.732,9.314,9.087,
27,11.390,9.334,9.305,9.172,8.579,
28,12.391,9.935,9.869,9.650,9.020,
29,12.326,9.303,9.859,9.693,9.492,
30,12.991,9.624,9.213,9.198,9.362,
