
1.1,4.979,2.120,3.095,1.936,1.767,
1.2,4.881,4.602,4.328,4.541,4.228,
1.3,7.749,7.750,8.228,8.042,8.377,
1.4,12.062,12.210,12.117,12.628,11.963,
1.5,16.779,16.876,17.109,16.705,16.852,
1.6,22.328,22.020,21.103,21.085,22.079,
1.7,27.225,26.501,26.782,26.454,26.543,
1.8,31.328,30.816,34.547,31.211,31.407,
1.9,36.357,36.029,36.152,42.118,36.061,
2.0,41.335,44.148,40.755,41.192,42.412,
2.1,45.950,47.042,46.153,45.794,45.449,
2.2,49.428,51.039,54.614,49.554,50.021,
2.3,53.584,54.762,53.684,54.659,56.731,
2.4,61.900,64.560,58.424,58.206,61.315,
2.5,63.290,61.611,61.694,61.640,63.109,
